PLAYER_ID,PLAYER_NAME,AGE,POSS,GP,MIN,season,position,three_pt_fgm_75,three_pt_fga_75,fg3m_uncontested_75,fg3a_uncontested_75,fg3m_spotup_75,fg3m_movement_75,fg3m_onball_75,fg3m_transition_75,pct_fg3a_uncontested,fg3_pct
2544,LeBron James,39.0,5304,71,35.3,2023-24,Forward,2.106900452488688,5.118778280542986,0.6645927601809954,1.4847285067873301,0.6080316742081449,0.3393665158371041,0.5656108597285068,0.3676470588235294,0.2900552486187845,0.41160220994475144
101108,Chris Paul,39.0,3189,58,26.4,2023-24,Guard,1.834430856067733,4.821260583254939,0.9172154280338665,2.3753527751646284,1.011288805268109,0.023518344308560677,0.5409219190968956,0.16462841015992474,0.4926829268292683,0.3804878048780488
200768,Kyle Lowry,38.0,3427,60,28.2,2023-24,Guard,2.1447330026262037,5.427487598482638,1.1380215932302304,2.3416982783775895,1.028596440035016,0.2845053983075576,0.10942515319521448,0.3282754595856434,0.43145161290322576,0.3951612903225806
200782,P.J. Tucker,39.0,992,31,15.7,2023-24,Forward,0.9828629032258065,2.64616935483871,0.6804435483870969,2.34375,0.6804435483870969,0.0,0.0,0.0,0.8857142857142856,0.3714285714285714
201142,Kevin Durant,35.0,5832,75,37.2,2023-24,Forward,2.160493827160494,5.234053497942387,0.4629629629629629,0.8744855967078189,1.1445473251028806,0.24434156378600824,0.3472222222222222,0.37294238683127573,0.16707616707616707,0.4127764127764128
201143,Al Horford,38.0,3585,65,26.8,2023-24,Center-Forward,2.2594142259414225,5.397489539748954,1.7573221757322177,3.8075313807531384,1.506276150627615,0.2719665271966527,0.0,0.4602510460251046,0.7054263565891473,0.41860465116279066
201144,Mike Conley,36.0,4460,76,28.9,2023-24,Guard,3.010089686098655,6.810538116591928,2.219730941704036,4.658071748878924,0.9753363228699552,0.6894618834080718,0.7230941704035875,0.0,0.6839506172839506,0.4419753086419754
201145,Jeff Green,37.0,2746,78,16.8,2023-24,Forward,1.4475600873998542,4.260742898761835,0.9286234522942461,2.8404952658412235,1.0105608157319739,0.2731245447924253,0.0819373634377276,0.0819373634377276,0.6666666666666666,0.3397435897435897
201152,Thaddeus Young,36.0,902,33,13.3,2023-24,Forward,0.08314855875831485,0.582039911308204,0.0,0.24944567627494457,0.0,0.0,0.0,0.0,0.4285714285714286,0.14285714285714285
201565,Derrick Rose,35.0,844,24,16.6,2023-24,Guard,1.3329383886255923,3.6433649289099526,0.6220379146919431,1.2440758293838863,0.8886255924170615,0.0,0.2665876777251185,0.17772511848341233,0.34146341463414637,0.36585365853658536
201566,Russell Westbrook,35.0,3247,68,22.5,2023-24,Guard,0.9701262704034493,3.557129658145981,0.6929473360024638,2.517708654142285,0.6929473360024638,0.06929473360024638,0.13858946720049276,0.0,0.7077922077922078,0.2727272727272727
201567,Kevin Love,35.0,1912,55,16.8,2023-24,Forward-Center,3.294979079497908,9.531903765690377,1.9220711297071131,5.295502092050209,1.961297071129707,0.7452928870292886,0.0,0.5099372384937239,0.5555555555555556,0.345679012345679
201568,Danilo Gallinari,35.0,1335,49,12.8,2023-24,Forward,1.6853932584269662,5.224719101123595,0.6741573033707866,2.247191011235955,0.44943820224719105,0.11235955056179776,0.0,0.3370786516853933,0.4301075268817205,0.3225806451612903
201569,Eric Gordon,35.0,3956,68,27.8,2023-24,Guard,2.8437815975733063,7.507583417593529,2.1423154701718907,5.47901921132457,2.1043983822042467,0.15166835187057634,0.05687563195146613,0.5118806875631952,0.7297979797979798,0.3787878787878788
