id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,average_heartrate,max_heartrate,start_latlng,moving_time_min,distance_mi,pace_mi,start_date_year
10742908786,Afternoon Run,2024-02-11 13:10:11,Run,6482.0,2121,2234,6.9,7.7,2.3,3.056,12.366,,,"[40.7525893393904, -74.00043589062989]",35.35,4.027726822,8.776662758485362,2024
10724696340,Evening Run,2024-02-08 19:07:33,Run,6902.0,2184,2341,4.4,8.3,2.3,3.16,10.963,,,"[40.752733927220106, -74.00049707852304]",36.4,4.2887026420000005,8.487415201867472,2024
10683349017,Afternoon Run,2024-02-02 16:34:49,Run,6670.6,2160,2226,15.6,7.3,-6.0,3.088,7.78,,,"[40.75258506461978, -74.00028367526829]",36.0,4.1449173926,8.685335940414998,2024
10640829554,Lunch Run,2024-01-27 10:21:34,Run,6589.8,2463,2466,4.1,10.6,2.5,2.676,4.538,,,"[40.75675204396248, -73.99832658469677]",41.05,4.0947106158,10.025128477114588,2024
10630435070,Evening Run,2024-01-25 19:19:09,Run,7848.5,2596,2719,4.1,6.6,2.3,3.023,15.303,,,"[40.752594619989395, -74.000478470698]",43.266666666666666,4.8768302935,8.871882772778438,2024
10585684454,Afternoon Run,2024-01-18 16:26:10,Run,5429.6,1851,1858,39.8,135.4,117.9,2.933,4.838,,,"[37.32370832003653, -122.07180208526552]",30.85,3.3737959816000003,9.144002828935019,2024
10573428245,Afternoon Run,2024-01-16 16:58:31,Run,5440.0,2400,2408,39.5,135.2,117.9,2.267,3.07,,,"[37.32369650155306, -122.07181918434799]",40.0,3.38025824,11.833415425680613,2024
10452093085,Afternoon Run,2023-12-28 12:50:30,Run,4866.5,1635,1770,4.4,6.8,2.3,2.976,8.396,,,"[40.75258950702846, -74.00049347430468]",27.25,3.0239019715,9.011535511676225,2023
10435680692,Afternoon Run,2023-12-25 13:40:08,Run,4976.7,1608,1654,4.1,6.8,2.3,3.095,8.286,,,"[40.75213017873466, -74.00048106908798]",26.8,3.0923770557,8.666472269479916,2023
9940087489,Evening Run,2023-09-28 18:27:01,Run,6478.6,2817,3046,8.5,7.1,2.4,2.3,5.014,,,"[40.75258690863848, -74.00063864886761]",46.95,4.0256141606,11.662816685094906,2023
9927064538,Evening Run,2023-09-26 17:49:43,Run,4972.0,1650,1902,8.4,6.8,2.3,3.013,5.402,,,"[40.75270526111126, -74.00044276379049]",27.5,3.089456612,8.901241691883646,2023
8578809215,Evening Run,2023-02-17 17:37:31,Run,5246.5,1691,1704,40.2,135.5,118.0,3.103,5.004,,,"[37.323921639472246, -122.07171130925417]",28.183333333333334,3.2600229515,8.64513340937236,2023
8382303781,Afternoon Run,2023-01-12 16:34:19,Run,6608.0,2241,2424,5.2,4.9,1.8,2.949,4.634,,,"[40.75444425456226, -74.00719438679516]",37.35,4.106019568,9.096400877162115,2023
8339178566,Afternoon Run,2023-01-04 16:46:44,Run,6647.7,2125,2256,9.7,7.6,2.2,3.128,8.796,,,"[40.7524664606899, -74.00033455342054]",35.416666666666664,4.1306879967,8.57403577683935,2023
8313504490,Afternoon Run,2022-12-30 17:17:50,Run,6544.7,2187,2366,9.6,8.7,2.2,2.993,6.302,,,"[40.7526392955333, -74.00029113516212]",36.45,4.0666867837,8.963070415478775,2022
8167166633,Lunch Run,2022-11-25 11:07:40,Run,9443.4,3338,3715,81.0,134.7,92.9,2.829,5.452,,,"[35.76818718574941, -78.85008445009589]",55.63333333333333,5.867854901399999,9.481034256668462,2022
8162315154,A little suburban nature,2022-11-24 09:27:50,Run,6583.3,2078,2155,31.4,114.8,92.9,3.168,5.31,,,"[35.76800839975476, -78.85009400546551]",34.63333333333333,4.0906717043,8.466417213810567,2022
8123693688,Afternoon Run,2022-11-15 16:41:38,Run,8337.1,2467,2562,11.0,9.0,1.8,3.379,6.88,,,"[40.75255027972162, -74.00060352869332]",41.11666666666667,5.1804321641,7.936918265545881,2022
8089460940,Afternoon Run,2022-11-08 16:55:19,Run,8935.4,2732,2935,11.0,9.0,1.8,3.271,6.07,,,"[40.75258992612362, -74.00051292032003]",45.53333333333333,5.5521984334,8.200955689807737,2022
8033854189,Afternoon Run,2022-10-28 16:46:04,Run,8913.7,2814,3103,10.5,8.6,1.8,3.168,6.776,,,"[40.75260962359607, -74.00044108740985]",46.9,5.5387146827,8.467668527229009,2022
8019505061,Evening Run,2022-10-25 18:02:43,Run,8185.1,2692,2832,11.0,9.2,1.8,3.041,6.01,,,"[40.7525219488889, -74.00038844905794]",44.86666666666667,5.0859837721000005,8.821629929845654,2022
7998575995,Afternoon Run,2022-10-21 16:30:13,Run,6684.9,2132,2190,10.1,7.6,1.8,3.135,7.018,,,"[40.752645498141646, -74.00034645572305]",35.53333333333333,4.1538029979,8.554409862792625,2022
7949142672,Evening Run,2022-10-11 18:44:49,Run,6641.6,2171,2384,10.8,9.1,2.0,3.059,10.338,,,"[40.75231248512864, -74.00043128058314]",36.18333333333333,4.1268976336000005,8.767683753224008,2022
7722789764,Evening Run,2022-08-29 19:43:18,Run,8129.6,2743,3064,42.7,32.3,2.6,2.964,10.152,,,"[40.75257450342178, -74.00036665610969]",45.71666666666667,5.0514976816,9.050121280504374,2022
7390824659,Evening Run,2022-06-29 19:38:46,Run,6332.7,1979,1994,52.3,135.8,117.7,3.2,5.8,,,"[37.32396338135004, -122.07191063091159]",32.983333333333334,3.9349561317,8.382134953835866,2022
7379696193,Evening Run,2022-06-27 19:20:35,Run,5418.3,1722,1820,39.9,135.4,117.7,3.147,4.494,,,"[37.323866821825504, -122.07183469086885]",28.7,3.3667744893,8.524479465794911,2022
7318398709,Morning Run,2022-06-16 08:49:23,Run,6467.4,2022,2164,9.4,7.6,2.4,3.198,7.574,,,"[40.75268380343914, -74.00071366690099]",33.7,4.0186548054,8.38589071017401,2022
7309917060,Evening Run,2022-06-14 17:30:22,Run,6657.7,2045,2343,5.6,9.0,2.4,3.256,6.754,,,"[40.752565283328295, -74.00064116343856]",34.083333333333336,4.1369017067,8.238855005458072,2022
7266970472,Evening Run,2022-06-06 18:14:58,Run,6613.0,2018,2071,9.4,7.6,2.2,3.277,7.54,,,"[40.75266033411026, -74.0008305106312]",33.63333333333333,4.109126423,8.18503250352133,2022
7254415934,Lunch Run,2022-06-04 11:26:58,Run,6623.8,2033,2138,9.5,7.6,2.3,3.258,6.608,,,"[40.752472914755344, -74.00026196613908]",33.88333333333333,4.1158372298,8.232427922077914,2022
7250694959,Evening Run,2022-06-03 20:08:44,Run,6867.4,2107,2271,8.4,8.9,1.7,3.259,7.27,,,"[40.752685479819775, -74.00068148039281]",35.11666666666667,4.2672032053999995,8.229433888273173,2022
7197758825,Evening Run,2022-05-24 18:37:21,Run,8265.8,2329,2404,12.4,9.7,1.8,3.549,7.736,,,"[40.75262127444148, -74.0006854198873]",38.81666666666667,5.1361284118,7.557573244759089,2022
