"full_name","team_abbv","position","passing_att","passing_cmp","passing_yds","passing_tds","passing_ints","rushing_att","rushing_yds","rushing_tds","fl","fpts","receiving_rec","receiving_yds","receiving_tds"
"Jalen Hurts","PHI","qb",520.3,339.4,3811,24.4,12.1,144.8,622.4,11.3,3.8,360.4,NA,NA,NA
"Josh Allen","BUF","qb",564.9,368.1,4062,27.7,14,108.7,558.9,8.9,4,360.4,NA,NA,NA
"Lamar Jackson","BAL","qb",463.6,303.5,3567.5,25,10.6,146.1,836.3,5.4,4.4,339.3,NA,NA,NA
"Patrick Mahomes II","KC","qb",588.1,394.7,4391.7,32.7,11.2,72,376.5,1.8,3.1,337.7,NA,NA,NA
"Anthony Richardson","IND","qb",512.2,325.9,3506,20,11.4,128.1,648.2,7.9,5,310.8,NA,NA,NA
"Dak Prescott","DAL","qb",572.8,385.2,4182.8,30.6,12,51.9,221.7,2,2.8,306.5,NA,NA,NA
"C.J. Stroud","HOU","qb",556.9,362.6,4335.7,29.5,10.1,43.8,183.8,2.4,3.6,306.4,NA,NA,NA
"Joe Burrow","CIN","qb",580.3,388.9,4238.8,30.2,11.5,56.7,191.2,2.1,3.1,304.5,NA,NA,NA
"Kyler Murray","ARI","qb",530.8,353.8,3711.1,22,12.1,96.1,530.6,5.2,2.6,303.2,NA,NA,NA
"Jordan Love","GB","qb",545.4,354.8,3987.1,29.4,11.5,45.7,200.5,2.4,3,294.1,NA,NA,NA
"Brock Purdy","SF","qb",498.4,336.2,4075.1,29.6,10.8,44.1,161.9,1.9,2.6,293,NA,NA,NA
"Jayden Daniels","WAS","qb",543.5,338.6,3582.5,20.1,13.8,114.6,594.4,5,4.4,290.4,NA,NA,NA
"Caleb Williams","CHI","qb",532.8,346.7,3784.3,25.3,13.4,78.1,363.4,3.3,4.3,286.8,NA,NA,NA
"Trevor Lawrence","JAC","qb",566.5,373.6,3986.1,24.4,12.5,66.4,306.4,3.5,4.8,286.3,NA,NA,NA
"Deshaun Watson","CLE","qb",544.8,334.4,3748.3,23,13.3,77.1,385.1,3.2,3.8,278.6,NA,NA,NA
"Justin Herbert","LAC","qb",544.6,356.1,3849.9,24.5,9.9,64.9,263.5,2.7,3,278.4,NA,NA,NA
"Jared Goff","DET","qb",569,384,4232.1,28.1,10.6,24,54,1.1,3.1,276.7,NA,NA,NA
"Tua Tagovailoa","MIA","qb",545,371,4268.4,27.3,12.5,31.8,88.8,0.6,3.8,272.4,NA,NA,NA
"Kirk Cousins","ATL","qb",537.2,351.9,4038.4,27.1,10.5,34.7,101,1.4,4.5,269.1,NA,NA,NA
"Baker Mayfield","TB","qb",562.6,355.5,3947.3,25.8,11.9,51.9,171.1,1.4,3.3,268.2,NA,NA,NA
"Matthew Stafford","LAR","qb",552.9,355.4,4127.4,26.8,12.5,24,67.8,0.6,2.2,266,NA,NA,NA
"Aaron Rodgers","NYJ","qb",544.5,359.7,3840.7,26.2,9,32.6,107.5,1.3,2.7,262.5,NA,NA,NA
"Geno Smith","SEA","qb",521.5,341.8,3746.3,24.1,11.9,50.6,204,1.7,3.1,259.1,NA,NA,NA
"Will Levis","TEN","qb",513,323.2,3727.1,22.2,12.4,53.8,185.3,2.2,4.2,249,NA,NA,NA
"Daniel Jones","NYG","qb",494,322.4,3226.8,16.6,10.6,95,469.1,3.5,3.6,245.5,NA,NA,NA
"Derek Carr","NO","qb",544.7,363.7,3843.7,24.6,10.9,24.7,71.1,0.5,3.2,244.5,NA,NA,NA
"Sam Darnold","MIN","qb",541.2,343.6,3722.3,22,14.4,44.5,173.2,2.1,4.1,244.1,NA,NA,NA
"Bo Nix","DEN","qb",496.6,309.9,3210.7,19,12.1,61.4,281.1,2.4,3.6,227.7,NA,NA,NA
"Bryce Young","CAR","qb",531.3,333.2,3450.4,19.3,11.9,42.5,235.3,1.2,3.5,227.1,NA,NA,NA
"Russell Wilson","PIT","qb",443.1,281.9,2952,18.2,9.4,65.7,297.2,2.6,3.5,219.7,NA,NA,NA
"Gardner Minshew II","LV","qb",413.3,259.4,2792.9,16,10.3,34,123.4,1.8,2.9,182.7,NA,NA,NA
"Drake Maye","NE","qb",422.6,267.9,2452.3,12.2,10.1,54.7,206.4,1.6,1.9,163.5,NA,NA,NA
"Jacoby Brissett","NE","qb",126.7,80.8,1301.7,7.4,4.8,11.6,94.5,0.8,1.6,87.9,NA,NA,NA
"Taysom Hill","NO","qb",5,4,38,0,0,80,403,6,1,75.8,NA,NA,NA
"Aidan O'Connell","LV","qb",202.4,127.8,1242.7,6.5,4.6,18.1,36.6,0.3,1,74.9,NA,NA,NA
"Justin Fields","PIT","qb",98.9,60.7,761.3,4.1,3.1,38.8,219.5,1.6,1.8,71.4,NA,NA,NA
"Sam Howell","SEA","qb",72.7,46.8,494.1,3.1,2.2,8,39,0.4,0.5,35.3,NA,NA,NA
"Drew Lock","NYG","qb",74.1,46.4,504.7,3.3,1.8,7.9,24.9,0.1,0.6,33.9,NA,NA,NA
"Nick Mullens","MIN","qb",82.9,53.6,562,3,2.1,5.6,18.2,0.1,0.7,33.2,NA,NA,NA
"Jarrett Stidham","DEN","qb",64.4,40.1,439.7,2.4,1.8,8.1,26,0.3,0.6,28.9,NA,NA,NA
"Jameis Winston","CLE","qb",60.5,37.6,423.9,2.5,2,5.8,21.6,0.1,0.2,27,NA,NA,NA
"Michael Penix Jr.","ATL","qb",42.1,25.8,334.1,2.5,1.3,3.4,21.1,0.4,0.5,25.6,NA,NA,NA
"Jake Browning","CIN","qb",50.6,32.7,328,2.4,1,5.6,23.5,0.2,0.2,24.7,NA,NA,NA
"Spencer Rattler","NO","qb",66.6,43.7,336.7,2.4,0.8,5.5,22.2,0.1,0.2,24.6,NA,NA,NA
"Hendon Hooker","DET","qb",68.1,44.1,338.4,1.9,1.4,6.1,25.7,0.2,0.3,22.9,NA,NA,NA
"Josh Johnson","BAL","qb",42.7,26.7,293.5,1.9,0.9,8.8,37,0.3,0.3,22.9,NA,NA,NA
