"id","full_name","abbr","team_id","passing_yards","passing_tds","interceptions","rushing_yards","rushing_tds","receiving_yards","receiving_tds","receptions","date_pulled"
585,"Geno Smith","G.Smith",156,3425.5,21.5,NA,NA,NA,NA,NA,NA,2024-09-01
1616,"Aaron Rodgers","A.Rodgers",127,3650.5,25.5,7.5,NA,NA,NA,NA,NA,2024-09-01
146731,"Jordan Love","J.Love",147,3825.5,27.5,10.5,NA,NA,NA,NA,NA,2024-09-01
82644,"Baker Mayfield","B.Mayfield",149,3550.5,23.5,11.5,NA,NA,NA,NA,NA,2024-09-01
111426,"Daniel Jones","D.Jones",144,2700.5,9.5,8.5,NA,NA,NA,NA,NA,2024-09-01
1594,"Matthew Stafford","M.Stafford",251,3900.5,22.5,10.5,NA,NA,NA,NA,NA,2024-09-01
146706,"Tua Tagovailoa","T.Tagovailoa",126,4000.5,25.5,10.5,NA,NA,NA,NA,NA,2024-09-01
241850,"Anthony Richardson","A.Richardson",133,3075.5,17.5,9.5,525.5,7.5,NA,NA,NA,2024-09-01
277038,"Caleb Williams","C.Williams",143,3500.5,22.5,11.5,NA,NA,NA,NA,NA,2024-09-01
82640,"Lamar Jackson","L.Jackson",131,3250.5,22.5,7.5,700.5,4.5,NA,NA,NA,2024-09-01
241914,"Will Levis","W.Levis",135,3400.5,19.5,12.5,NA,NA,NA,NA,NA,2024-09-01
195321,"Brock Purdy","B.Purdy",154,3900.5,28.5,9.5,NA,NA,NA,NA,NA,2024-09-01
82643,"Josh Allen","J.Allen",125,3750.5,25.5,12.5,485.5,8.5,NA,NA,NA,2024-09-01
146747,"Jalen Hurts","J.Hurts",142,3525.5,21.5,10.5,550.5,9.5,NA,NA,NA,2024-09-01
146733,"Justin Herbert","J.Herbert",1325,3600.5,22,NA,NA,NA,NA,NA,NA,2024-09-01
54623,"Patrick Mahomes","P.Mahomes",139,4300.5,32.5,9.5,NA,NA,NA,NA,NA,2024-09-01
5108,"Dak Prescott","D.Prescott",140,4100.5,29.5,9.5,NA,NA,NA,NA,NA,2024-09-01
111381,"Gardner Minshew","G.Minshew",2045,2925.5,18.5,NA,NA,NA,NA,NA,NA,2024-09-01
60118,"Deshaun Watson","D.Watson",130,3200.5,18.5,9.5,NA,NA,NA,NA,NA,2024-09-01
2104,"Russell Wilson","R.Wilson",132,2400.5,14.5,NA,NA,NA,NA,NA,NA,2024-09-01
241856,"C.J. Stroud","C.Stroud",137,4175.5,28.5,9.5,NA,NA,NA,NA,NA,2024-09-01
166294,"Trevor Lawrence","T.Lawrence",134,3775.5,22.5,12.5,NA,NA,NA,NA,NA,2024-09-01
82642,"Sam Darnold","S.Darnold",148,3475.5,19.5,NA,NA,NA,NA,NA,NA,2024-09-01
7729,"Jared Goff","J.Goff",146,4050.5,25.5,10.5,NA,NA,NA,NA,NA,2024-09-01
1544,"Kirk Cousins","K.Cousins",151,3800.5,26.5,8.5,NA,NA,NA,NA,NA,2024-09-01
146707,"Joe Burrow","J.Burrow",128,4000.5,27.5,9.5,NA,NA,NA,NA,NA,2024-09-01
1324,"Derek Carr","D.Carr",152,3350.5,21.5,11.5,NA,NA,NA,NA,NA,2024-09-01
111924,"Kyler Murray","K.Murray",153,3400.5,20.5,9.5,475.5,4.5,NA,NA,NA,2024-09-01
277048,"Bo Nix","B.Nix",136,3100.5,18.5,NA,NA,NA,NA,NA,NA,2024-09-01
241861,"Bryce Young","B.Young",150,3200.5,18.5,10.5,NA,NA,NA,NA,NA,2024-09-01
277039,"Jayden Daniels","J.Daniels",145,3100.5,17.5,12.5,525.5,5.5,NA,NA,NA,2024-09-01
146756,"Jonathan Taylor","J.Taylor",133,NA,NA,NA,1075.5,8.5,NA,NA,NA,2024-09-01
166333,"Javonte Williams","J.Williams",136,NA,NA,NA,725.5,3.5,NA,NA,NA,2024-09-01
146805,"Zack Moss","Z.Moss",128,NA,NA,NA,700.5,5.5,NA,NA,NA,2024-09-01
108171,"Tony Pollard","T.Pollard",135,NA,NA,NA,700.5,5.5,NA,NA,NA,2024-09-01
166283,"Najee Harris","N.Harris",132,NA,NA,NA,825.5,5.5,NA,NA,NA,2024-09-01
111892,"Devin Singletary","D.Singletary",144,NA,NA,NA,700.5,4.5,NA,NA,NA,2024-09-01
4912,"Derrick Henry","D.Henry",131,NA,NA,NA,950.5,10.5,NA,NA,NA,2024-09-01
241840,"Jahmyr Gibbs","J.Gibbs",146,NA,NA,NA,825.5,8.5,NA,NA,NA,2024-09-01
62989,"Alvin Kamara","A.Kamara",152,NA,NA,NA,650.5,4.5,425.5,NA,65.5,2024-09-01
87973,"Gus Edwards","G.Edwards",1325,NA,NA,NA,625.5,4.5,NA,NA,NA,2024-09-01
195293,"Isiah Pacheco","I.Pacheco",139,NA,NA,NA,900.5,6.5,NA,NA,NA,2024-09-01
54135,"Christian McCaffrey","C.McCaffrey",154,NA,NA,NA,1150.5,10.5,500.5,4.5,62.5,2024-09-01
195163,"Zamir White","Z.White",2045,NA,NA,NA,800.5,4.5,NA,NA,NA,2024-09-01
741,"Raheem Mostert","R.Mostert",126,NA,NA,NA,675.5,7.5,NA,NA,NA,2024-09-01
241939,"Tyjae Spears","T.Spears",135,NA,NA,NA,550.5,NA,NA,NA,NA,2024-09-01
195196,"Kyren Williams","K.Williams",251,NA,NA,NA,925.5,8.5,NA,NA,NA,2024-09-01
166293,"Travis Etienne","T.Etienne",134,NA,NA,NA,925.5,6.5,NA,NA,NA,2024-09-01
195431,"Jaylen Warren","J.Warren",132,NA,NA,NA,615.5,NA,NA,NA,NA,2024-09-01
60246,"James Conner","J.Conner",153,NA,NA,NA,725.5,6.5,NA,NA,NA,2024-09-01
